Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   781430","USNMENT00781430","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia hippotas (Hewitson, 1875)","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","12 Jan 2022 21:38:00","http://n2t.net/ark:/65665/38134f760-af78-4470-8fbf-a07909cc10a5"
"USNMENT   781437","USNMENT00781437","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia hyposticta","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/315677383-e678-4a47-b45a-03189de8dd16"
"USNMENT   781438","USNMENT00781438","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia hyposticta","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/35619c859-e625-4530-9f96-b935a402ab2a"
"USNMENT   781439","USNMENT00781439","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia laja","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3d8ebd7b9-f628-4874-a286-d96b84c60c60"
"USNMENT   781440","USNMENT00781440","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia laja","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/34f66cca8-b804-4026-8e42-44327e138e04"
"USNMENT   781442","USNMENT00781442","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lelex","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a1112e51-2f01-45d2-a7f3-5f868c09b526"
"USNMENT   781441","USNMENT00781441","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lelex","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/32f6fa0bd-6af7-47b8-9bdc-50a303e98230"
"USNMENT   781443","USNMENT00781443","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lewyi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/303646df5-cc2d-4c14-82df-7704e4c762cf"
"USNMENT   781444","USNMENT00781444","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lewyi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33986670e-0ea7-4645-a34f-ca13d04b09de"
"USNMENT   781446","USNMENT00781446","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lua","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/326d73c04-ebed-442f-9df3-8658bd5f75a1"
"USNMENT   781445","USNMENT00781445","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lua","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f1558f1a-5386-4df1-b8fb-c01c239aa1dc"
"USNMENT   781447","USNMENT00781447","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lycosura","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/372ce20de-adcc-444d-8953-d961d0cfa3ad"
"USNMENT   781449","USNMENT00781449","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lygdamis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:27:00","http://n2t.net/ark:/65665/34f4ec13b-ae5b-4db4-a9af-c54e78562372"
"USNMENT   781448","USNMENT00781448","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lygdamis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/303ed610c-6d88-4561-bb35-69923a95c74d"
"USNMENT   781456","USNMENT00781456","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lysis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:27:00","http://n2t.net/ark:/65665/39cd3775a-f3ed-49ac-bca3-010fb5a24019"
"USNMENT   781455","USNMENT00781455","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia lysis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/36269067c-17c1-404d-b86f-6a45b63b512e"
"USNMENT   781458","USNMENT00781458","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia medora","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:27:00","http://n2t.net/ark:/65665/3f1d19160-9cd7-4258-819e-fb9eda1af572"
"USNMENT   781457","USNMENT00781457","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia medora","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/317c010ed-61d2-4518-8c0a-fd4fabc3faef"
"USNMENT   781459","USNMENT00781459","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia medorilla","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/39129aef4-e833-46f7-8846-2f0a77b1e2a1"
"USNMENT   781450","USNMENT00781450","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia medorilla","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e97a970e-b363-48a5-966c-9f1429889123"
"USNMENT   781452","USNMENT00781452","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia mirandola","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3da844ec6-32d2-4d20-9d6c-4f9381881d07"
"USNMENT   781451","USNMENT00781451","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia mirandola","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3c27074d7-1391-4ea0-a583-6daa08bbd152"
"USNMENT   781454","USNMENT00781454","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia niepelti","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3ecb07aad-6844-422b-9d1f-6e31ee4a412a"
"USNMENT   781453","USNMENT00781453","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia niepelti","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/312fa0b53-977e-40c4-9145-bfb973c68331"
"USNMENT   781461","USNMENT00781461","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia pseudolewyi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31f08fc24-080f-4a51-a8a6-17ec68084b56"
"USNMENT   781460","USNMENT00781460","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia spio","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3b12b9667-4b10-45c0-a90c-77e1f51c4323"
"USNMENT   781462","USNMENT00781462","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia spio","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/353c377ca-36a6-4e78-b3e4-157c47b0b518"
"USNMENT   781464","USNMENT00781464","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia teresa","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:28:00","http://n2t.net/ark:/65665/3891c0f9d-5c5e-4da4-9a53-9a13d668fef3"
"USNMENT   781463","USNMENT00781463","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia teresa","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:28:00","http://n2t.net/ark:/65665/38b73a9c3-5096-4c2e-b804-29ea6240a012"
"USNMENT   781466","USNMENT00781466","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia thermesia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a1df03d1-06d1-4400-81ca-81bfca68c8eb"
"USNMENT   781465","USNMENT00781465","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia thermesia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33057dfa9-389d-40c0-bf52-65938050ba31"
"USNMENT   781467","USNMENT00781467","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia theucharila","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:29:00","http://n2t.net/ark:/65665/3cd3b560f-fd89-4c73-bec8-8a4d82ba10c7"
"USNMENT   781468","USNMENT00781468","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia theucharila","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/36f911afe-3383-4da0-8f2a-46b0bb09260f"
"USNMENT   781469","USNMENT00781469","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia zaela","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:29:00","http://n2t.net/ark:/65665/3fd49c753-7d59-4569-971c-0db6b47cae79"
"USNMENT   781470","USNMENT00781470","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia zaela","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3ebb6723e-06ad-4680-ad8a-053414cff268"
"USNMENT   781472","USNMENT00781472","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia zathoe","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3eb0f20e9-8126-4a9d-8738-654de37f69f5"
"USNMENT   781471","USNMENT00781471","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dismorphia zathoe","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3c82dbba3-23a4-49ab-b179-3bdbc64188f9"
"USNMENT   991446","USNMENT00991446","Specimen Inventory","Insecta","Lepidoptera","Notodontidae","Disphragis arima Schaus, 1928","Paratype","Schaus. 1928. Proceedings of the United States National Museum. 73 (Art. 19): 24.","","","Pinned","","","Brazil","Unknown","","Hyutanahan, Rio Purus","","","","","[Not Stated]","Jan 1922",1,"Reviewed, Aug 2011.","","","","","","","","23 Oct 2017 17:46:00","http://n2t.net/ark:/65665/3e01c8f7c-565a-4839-8191-58d11e20348d"
"USNMENT  1492485","USNMENT01492485","Specimen Inventory","Insecta","Lepidoptera","Castniidae","Divana diva (Butler, 1870)","","","","1 Adult","pinned","","","Costa Rica","","","Corinira","","","","","","19 May 1907 (19.05.07)",1,"Unreviewed, 15 Sep 2022, Submitted by Burks, APHIS.","","","","","","","","23 Sep 2022 17:29:00","http://n2t.net/ark:/65665/31e99e286-7a1e-4cbe-86e3-78a5f17db076"
"USNMENT  1492486","USNMENT01492486","Specimen Inventory","Insecta","Lepidoptera","Castniidae","Divana diva (Butler, 1870)","","","","1 Adult","pinned","","","Costa Rica","[Not Stated]","","Carillo","","","","","","(May)",1,"Unreviewed, 15 Sep 2022, Submitted by Burks, APHIS.","","","","","","","","23 Sep 2022 17:29:00","http://n2t.net/ark:/65665/3208a8e79-13e4-471f-a91b-8aab6eb97e42"
"USNMENT   804453","USNMENT00804453","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia capricornis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3056f1865-57e0-47af-826e-769004672cf5"
"USNMENT   804451","USNMENT00804451","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia cebron","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3175c5a48-1a45-4b41-8b70-307d1b58c825"
"USNMENT   804452","USNMENT00804452","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia cebron","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3c1d24130-714f-466c-b137-3bb60a3dc52a"
"USNMENT   804461","USNMENT00804461","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia charina","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3fdb1b6e1-a9b7-4926-bfbd-fb1c4f072b96"
"USNMENT   804462","USNMENT00804462","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia charina","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/313a95278-43e9-4572-9e3c-4fe27396ef21"
"USNMENT   804454","USNMENT00804454","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia dixeyi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/304878818-72c3-4875-8edc-a1847734dd48"
"USNMENT   804455","USNMENT00804455","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia dixeyi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/321a4433f-58df-41c7-bede-5934c005e9fe"
"USNMENT   804459","USNMENT00804459","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia doxo","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3981e8ae7-ea3b-49cb-b5b0-eb4df88ed72d"
"USNMENT   804460","USNMENT00804460","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia doxo","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3fa691d1a-806a-457a-92f2-38b82cc8883a"
"USNMENT   804458","USNMENT00804458","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia orbona","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3e378359c-7f6e-473e-8464-3a768051e71b"
"USNMENT   804456","USNMENT00804456","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia pigea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3b8e8c496-4c22-4473-b351-a00931e5122a"
"USNMENT   804457","USNMENT00804457","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia pigea","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3873c403c-0bdf-43a5-b64c-8baa8208e1e7"
"USNMENT   804463","USNMENT00804463","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia spilleri","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3ca94e60a-2699-49ac-929b-6ba80da20fbd"
"USNMENT   804464","USNMENT00804464","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Dixeia spilleri","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/36f77dff9-ab7a-4652-a3b9-eae775ad119a"
"USNMENT  1492440","USNMENT01492440","Specimen Inventory","Insecta","Lepidoptera","Pyralidae","Elasmopalpus lignosella (Zeller, 1848)","","","","1 Adult","pinned","","","[Not Stated]","[Not Stated]","","[Not Stated]","","","","","[Not Stated]","8 Nov 1881 (NOV. 8, 1881)",1,"Unreviewed, 15 Sep 2022, Submitted by Burks, APHIS.","","","","","","","","23 Sep 2022 17:25:00","http://n2t.net/ark:/65665/3d95d9657-9db8-4ab9-812f-7eef2e21fa6f"
"USNMENT   804471","USNMENT00804471","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina angulipennis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37db4465c-29a4-4708-b605-adfafdf69076"
"USNMENT   804472","USNMENT00804472","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina angulipennis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3974f7b0b-5e1f-4216-b9c6-1df23d8d293e"
"USNMENT   804473","USNMENT00804473","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina argypheus","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e1badd59-4153-4ff2-a37f-77caf3008fcb"
"USNMENT   804474","USNMENT00804474","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina argypheus","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/36abd5a57-5de4-4319-a1fe-2afbef36c89b"
"USNMENT   804475","USNMENT00804475","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina biaki","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/395f521d3-dec5-41c2-97d3-0114d9a6bc16"
"USNMENT   804476","USNMENT00804476","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina egnatia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/329653703-d29d-49b4-9838-5c058389e999"
"USNMENT   804465","USNMENT00804465","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina hypatia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3bf078bca-a8bf-4375-914e-6d3dc5955764"
"USNMENT   804466","USNMENT00804466","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina hypatia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/351543eb1-28b6-4433-a378-84393ebc99da"
"USNMENT   804467","USNMENT00804467","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina parthia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/38995c2f5-3902-435d-8ae7-8cf02ee63f70"
"USNMENT   804468","USNMENT00804468","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina parthia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/39796fff9-ab0d-4e62-a2e7-302a8e586d9d"
"USNMENT   804469","USNMENT00804469","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina primularis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/364be6f38-e351-44ca-9cfc-2674bed2ad5a"
"USNMENT   804470","USNMENT00804470","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Elodina primularis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/35f697d5f-333d-4d01-b04f-9b27b3ae493f"
"USNMENT   781480","USNMENT00781480","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia albania","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/31ca96e6c-b1a8-4741-90c4-a4e028ce51b4"
"USNMENT   781479","USNMENT00781479","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia albania","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:31:00","http://n2t.net/ark:/65665/37440b6a5-aac5-4de0-9c0c-8b9706bbf14e"
"USNMENT   781481","USNMENT00781481","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia citrinella","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/337acc7d3-470e-4e3f-a66b-38cce61f9b90"
"USNMENT   781482","USNMENT00781482","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia citrinella","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3736a3444-fcfb-42a9-a09f-27744e3041b9"
"USNMENT   781483","USNMENT00781483","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia clarissa","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/375065e97-6f91-4d45-b421-c0a07b5dea3a"
"USNMENT   781484","USNMENT00781484","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia clarissa","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/347034a44-1e80-4d7e-b30d-ce8ea158ec62"
"USNMENT   781485","USNMENT00781485","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia jethys","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:32:00","http://n2t.net/ark:/65665/3b7f9cc7b-b3e8-4a58-a2f8-13f473067981"
"USNMENT   781486","USNMENT00781486","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia jethys","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/333823d93-c250-4362-8628-50e18ab6219c"
"USNMENT   781488","USNMENT00781488","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia limnoria","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/38576db0f-1685-4f86-b67b-0e088a0661c1"
"USNMENT   781487","USNMENT00781487","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia limnoria","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/367040fab-9b23-4813-bda9-e26947073549"
"USNMENT   781489","USNMENT00781489","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia lina","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:32:00","http://n2t.net/ark:/65665/35f4e1af4-dd61-4dfa-b249-8a232e4a5e12"
"USNMENT   781490","USNMENT00781490","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia lina","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3b502c5bb-f532-4654-8310-2f4d629df7d4"
"USNMENT   781492","USNMENT00781492","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia mazai","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:32:00","http://n2t.net/ark:/65665/32a5481fb-210d-449e-bf18-2be5a2bd891e"
"USNMENT   781491","USNMENT00781491","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia mazai","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3c2760f66-ab89-4eba-84b4-8a1649a85335"
"USNMENT   781494","USNMENT00781494","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia melite","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3a92ccf0d-4d6f-4b50-9d1c-9c48542a7a86"
"USNMENT   781493","USNMENT00781493","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Enantia melite","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 18:33:00","http://n2t.net/ark:/65665/358598013-0db2-4e6b-8893-e8f380bd78c7"
"USNMENT  1200936","USNMENT01200936","Specimen Inventory","Insecta","Lepidoptera","Gelechiidae","Ephysteris inustella (Herrich-Schäffer, 1855)","","","","1 Adult","Pinned","","","Germany","Lower Saxony","Leer","Ost-Fries Inseln, Borkum, Bloemfontein","",53.5936,6.70152,"","Jäckh, E.","12 Aug 1935",1,"","","","","","","","","15 Sep 2017 10:49:00","http://n2t.net/ark:/65665/3ec51af95-f947-4cb6-8cfa-fc3462181d93"
"USNMENT  1200939","USNMENT01200939","Specimen Inventory","Insecta","Lepidoptera","Gelechiidae","Ephysteris inustella (Herrich-Schäffer, 1855)","","","","1 Adult Male","Pinned; Slide","","","Germany","Thuringia","[Not Stated]","Kyffhauser, Kosacken-Berg","",51.3682,11.077,"","Jäckh, E.","11 Jun 1935",1,"","","","","","","","","15 Sep 2017 11:07:00","http://n2t.net/ark:/65665/357d91072-7003-4fa8-b9aa-884edee60c6b"
"USNMENT   781549","USNMENT00781549","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Eroessa chilensis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3445eca0f-9717-41ad-9875-de687d2b3901"
