Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT  1492468","USNMENT01492468","Specimen Inventory","Insecta","Lepidoptera","Castniidae","Amauta cacica (Herrich-Schäffer, 1854)","","","","1 Adult","pinned","","","Costa Rica","","","","","","","","Schaus","([Not Stated])",1,"Unreviewed, 15 Sep 2022, Submitted by Burks, APHIS.","","","","","","","","23 Sep 2022 17:26:00","http://n2t.net/ark:/65665/3386a2c34-e841-49ca-b266-b7046a8b75b8"
"USNMENT   781301","USNMENT00781301","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos clorinde","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:35:00","http://n2t.net/ark:/65665/3ffdf0afc-4ce5-4c11-9c85-60fd75339f19"
"USNMENT   781302","USNMENT00781302","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos clorinde","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:35:00","http://n2t.net/ark:/65665/399b88224-8c8d-491a-a82e-c91b1a341e15"
"USNMENT   781303","USNMENT00781303","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos maerula","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3d5530ca8-e9cd-40b8-b852-5d7dd7f0b864"
"USNMENT   781304","USNMENT00781304","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos maerula","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/31a6ff24b-ca00-4e9f-8859-23293ce1923a"
"USNMENT   781306","USNMENT00781306","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos menippe","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/350dcac50-7958-43c8-bb1e-d32f95d56a5f"
"USNMENT   781305","USNMENT00781305","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anteos menippe","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/337882c84-c01b-4f2e-9be8-82aa3d3106c9"
"USNMENT   781520","USNMENT00781520","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis bambusarum","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3920eae44-0f7f-4019-b0fc-139111d5bbf3"
"USNMENT   781521","USNMENT00781521","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis belia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:35:00","http://n2t.net/ark:/65665/3eaa2cf29-fa5f-4dae-82af-e44d1e44bb46"
"USNMENT   781522","USNMENT00781522","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis belia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/343dbcb5d-4cc0-4570-bdfa-840e2e775ed8"
"USNMENT   781524","USNMENT00781524","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis bieti","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3ab643c32-f754-488e-ba6d-f775dc5c7bb6"
"USNMENT   781523","USNMENT00781523","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis bieti","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e4c6ea27-fb06-45c3-ace2-86909e0fb8d6"
