"","x"
"350","Galeocerdo cuvier"
"351","Galeocerdo cuvier"
"352","Galeorhinus galeus"
"353","Galeorhinus galeus"
"354","Galeorhinus galeus"
"355","Galeorhinus galeus"
"356","Galeorhinus galeus"
"357","Galeorhinus galeus"
"358","Galeorhinus galeus"
"359","Galeus arae"
"360","Galeus atlanticus"
"361","Galeus eastmani"
"362","Galeus eastmani"
"363","Galeus melastomus"
"364","Galeus melastomus"
"365","Galeus melastomus"
"366","Galeus melastomus"
"367","Galeus melastomus"
"368","Galeus melastomus"
"369","Galeus melastomus"
"370","Galeus murinus"
"371","Galeus murinus"
"372","Galeus polli"
"373","Galeus sauteri"
"374","Ginglymostoma cirratum"
"375","Ginglymostoma cirratum"
"376","Ginglymostoma cirratum"
"377","Ginglymostoma cirratum"
"378","Ginglymostoma cirratum"
"379","Ginglymostoma cirratum"
"380","Ginglymostoma cirratum"
"381","Ginglymostoma cirratum"
"382","Ginglymostoma cirratum"
"383","Ginglymostoma cirratum"
"384","Ginglymostoma cirratum"
"385","Ginglymostoma cirratum"
"386","Glyphis gangeticus"
"387","Glyphis glyphis"
"388","Glyphis glyphis"
"389","Gollum attenuatus"
"390","Gollum attenuatus"
"391","Gollum attenuatus"
"392","Halaelurus lineatus"
"393","Halaelurus natalensis"
"394","Halaelurus natalensis"
"395","Haploblepharus edwardsii"
"396","Haploblepharus edwardsii"
"397","Haploblepharus edwardsii"
"398","Hemigaleus australiensis"
"399","Hemigaleus australiensis"
"400","Hemigaleus microstoma"
"401","Hemigaleus microstoma"
"402","Hemigaleus microstoma"
"403","Hemipristis elongata"
"404","Hemipristis elongata"
"405","Hemipristis elongata"
"406","Hemiscyllium ocellatum"
"407","Hemiscyllium ocellatum"
"408","Hemiscyllium ocellatum"
"409","Hemitriakis falcata"
"410","Hemitriakis japanica"
"411","Hemitriakis leucoperiptera"
"412","Heptranchias perlo"
"413","Heptranchias perlo"
"414","Heptranchias perlo"
"415","Heptranchias perlo"
"416","Heptranchias perlo"
"417","Heterodontus francisci"
"418","Heterodontus francisci"
"419","Heterodontus francisci"
"420","Heterodontus francisci"
"421","Heterodontus francisci"
"422","Heterodontus francisci"
"423","Heterodontus francisci"
"424","Heterodontus francisci"
"425","Heterodontus galeatus"
"426","Heterodontus galeatus"
"427","Heterodontus mexicanus"
"428","Heterodontus mexicanus"
"429","Heterodontus mexicanus"
"430","Heterodontus portusjacksoni"
"431","Heterodontus portusjacksoni"
"432","Heterodontus portusjacksoni"
"433","Heterodontus portusjacksoni"
"434","Heterodontus portusjacksoni"
"435","Heterodontus portusjacksoni"
"436","Heterodontus zebra"
"437","Heterodontus zebra"
"438","Heterodontus zebra"
"439","Hexanchus griseus"
"440","Hexanchus griseus"
"441","Hexanchus griseus"
"442","Hexanchus griseus"
"443","Hexanchus griseus"
"444","Hexanchus griseus"
"445","Hexanchus griseus"
"446","Hexanchus griseus"
"447","Hexanchus griseus"
"448","Holohalaelurus regani"
"449","Holohalaelurus regani"
"450","Hypogaleus hyugaensis"
"451","Hypogaleus hyugaensis"
"452","Hypogaleus hyugaensis"
"453","Iago garricki"
"454","Iago omanensis"
"455","Isistius brasiliensis"
"456","Isistius brasiliensis"
"457","Isistius brasiliensis"
"458","Isistius brasiliensis"
"459","Isurus oxyrinchus"
"460","Isurus oxyrinchus"
"461","Isurus oxyrinchus"
"462","Isurus oxyrinchus"
"463","Isurus oxyrinchus"
"464","Isurus oxyrinchus"
"465","Isurus oxyrinchus"
"466","Isurus oxyrinchus"
"467","Isurus oxyrinchus"
"468","Isurus oxyrinchus"
"469","Isurus oxyrinchus"
"470","Isurus oxyrinchus"
"471","Isurus oxyrinchus"
"472","Isurus oxyrinchus"
"473","Isurus oxyrinchus"
"474","Isurus oxyrinchus"
"475","Isurus oxyrinchus"
"476","Isurus oxyrinchus"
"477","Isurus oxyrinchus"
"478","Isurus oxyrinchus"
"479","Isurus paucus"
"480","Isurus paucus"
"481","Isurus paucus"
"482","Isurus paucus"
"483","Isurus paucus"
"484","Lamiopsis temminckii"
"485","Lamna ditropis"
"486","Lamna ditropis"
"487","Lamna nasus"
"488","Lamna nasus"
"489","Lamna nasus"
"490","Lamna nasus"
"491","Lamna nasus"
"492","Lamna nasus"
"493","Lamna nasus"
"494","Lamna nasus"
"495","Loxodon macrorhinus"
"496","Loxodon macrorhinus"
"497","Loxodon macrorhinus"
"498","Megachasma pelagios"
"499","Megachasma pelagios"
"500","Megachasma pelagios"
"501","Megachasma pelagios"
"502","Megachasma pelagios"
"503","Megachasma pelagios"
"504","Megachasma pelagios"
"505","Megachasma pelagios"
"506","Mitsukurina owstoni"
"507","Mitsukurina owstoni"
"508","Mitsukurina owstoni"
"509","Mitsukurina owstoni"
"510","Mitsukurina owstoni"
"511","Mitsukurina owstoni"
"512","Mustelus antarcticus"
"513","Mustelus antarcticus"
"514","Mustelus asterias"
"515","Mustelus asterias"
"516","Mustelus asterias"
"517","Mustelus asterias"
"518","Mustelus asterias"
"519","Mustelus asterias"
"520","Mustelus asterias"
"521","Mustelus asterias"
"522","Mustelus asterias"
"523","Mustelus asterias"
"524","Mustelus californicus"
"525","Mustelus californicus"
"526","Mustelus californicus"
"527","Mustelus californicus"
"528","Mustelus canis"
"529","Mustelus canis"
"530","Mustelus canis"
"531","Mustelus canis"
"532","Mustelus canis"
"533","Mustelus canis"
"534","Mustelus henlei"
"535","Mustelus henlei"
"536","Mustelus henlei"
"537","Mustelus henlei"
"538","Mustelus henlei"
"539","Mustelus henlei"
"540","Mustelus lenticulatus"
"541","Mustelus lenticulatus"
"542","Mustelus lenticulatus"
"543","Mustelus manazo"
"544","Mustelus manazo"
"545","Mustelus mustelus"
"546","Mustelus mustelus"
"547","Mustelus mustelus"
"548","Mustelus mustelus"
"549","Mustelus mustelus"
"550","Mustelus mustelus"
"551","Mustelus mustelus"
"552","Mustelus punctulatus"
"553","Mustelus schmitti"
"554","Mustelus schmitti"
"555","Mustelus schmitti"
"556","Mustelus schmitti"
"557","Nasolamia velox"
"558","Nebrius ferrugineus"
"559","Nebrius ferrugineus"
"560","Negaprion acutidens"
"561","Negaprion acutidens"
"562","Negaprion acutidens"
"563","Negaprion acutidens"
"564","Negaprion acutidens"
"565","Negaprion brevirostris"
"566","Negaprion brevirostris"
"567","Negaprion brevirostris"
"568","Negaprion brevirostris"
"569","Notorynchus cepedianus"
"570","Notorynchus cepedianus"
"571","Notorynchus cepedianus"
"572","Notorynchus cepedianus"
"573","Notorynchus cepedianus"
"574","Notorynchus cepedianus"
"575","Notorynchus cepedianus"
"576","Notorynchus cepedianus"
"577","Notorynchus cepedianus"
"578","Odontaspis noronhai"
"579","Odontaspis noronhai"
"580","Odontaspis noronhai"
"581","Odontaspis noronhai"
"582","Orectolobus japonicus"
"583","Orectolobus japonicus"
"584","Orectolobus japonicus"
"585","Orectolobus maculatus"
"586","Orectolobus maculatus"
"587","Orectolobus maculatus"
"588","Orectolobus maculatus"
"589","Orectolobus ornatus"
"590","Orectolobus ornatus"
"591","Oxynotus bruniensis"
"592","Oxynotus centrina"
"593","Oxynotus centrina"
