TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
SECOND_COLL_GRANT,(A),5,0,5,0.12,2021
SHARON,(K),12,6,18,1.15,2021
SHELBURNE,(C2/E),13,0,13,0.27,2021
SOMERSWORTH,(L),12,7,19,1.96,2021
SOUTH_HAMPTON,(M),27,18,45,5.71,2021
SPRINGFIELD,(G1/I2),31,8,39,0.9,2021
STARK,(B/C1),17,2,19,0.32,2021
STEWARTSTOWN,(A),28,10,38,0.82,2021
STODDARD,(H2/I2),34,6,40,0.79,2021
STRAFFORD,(J2),89,34,123,2.53,2021
STRATFORD,(B),22,3,25,0.32,2021
STRATHAM,(L/M),52,32,84,5.56,2021
SUCCESS,(C2),5,0,5,0.09,2021
SUGAR_HILL,(D1/D2W),13,2,15,0.88,2021
SULLIVAN,(H2),24,1,25,1.35,2021
SUNAPEE,(G1/I2),25,12,37,1.76,2021
SURRY,(H2),22,2,24,1.55,2021
SUTTON,(I1/I2),36,3,39,0.92,2021
SWANZEY,(H2),72,27,99,2.22,2021
TAMWORTH,(F/J1),31,7,38,0.64,2021
TEMPLE,(K),36,10,46,2.08,2021
THORNTON,(F),21,3,24,0.48,2021
TILTON,(I1/J2),10,8,18,1.62,2021
TROY,(H2),45,13,58,3.32,2021
TUFTONBORO,(J1/J2),54,18,72,1.78,2021
UNITY,(H1),42,20,62,1.68,2021
WAKEFIELD,(J1/J2),66,19,85,2.15,2021
WALPOLE,(H1/H2),38,17,55,1.56,2021
WARNER,(I1/I2),35,7,42,0.77,2021
WARREN,(D2E/D2W/F),21,1,22,0.45,2021
WASHINGTON,(I2),34,5,39,0.86,2021
WEARE,(K),83,33,116,2.06,2021
WEBSTER,(I1),34,15,49,1.77,2021
WENTWORTH,(D2W/F/G1),23,8,31,0.74,2021
WENTWORTHS_LOCATION,(A/C2),5,0,5,0.27,2021
WESTMORELAND,(H2),45,22,67,1.87,2021
WHITEFIELD,(D1),16,2,18,0.53,2021
WILMOT,(G1/I1),16,4,20,0.68,2021
WILTON,(K),35,18,53,2.09,2021
WINCHESTER,(H2),69,21,90,1.65,2021
WINDHAM,(M),33,25,58,2.18,2021
WINDSOR,(I2),3,1,4,0.49,2021
WOLFEBORO,(J1/J2),44,15,59,1.23,2021
WOODSTOCK,(D2E/F),9,1,10,0.17,2021
ACWORTH,(H1),44,22,66,1.7,2022
ALBANY,(E/F/J1),12,0,12,0.16,2022
ALEXANDRIA,(G2/I1),21,4,25,0.58,2022
ALLENSTOWN,(L),21,16,37,1.83,2022
ALSTEAD,(H1/H2),46,18,64,1.65,2022
ALTON,(J2),81,55,136,2.14,2022
AMHERST,(K/M),50,32,82,2.43,2022
ANDOVER,(G1/I1),37,11,48,1.2,2022
ANTRIM,(H2/I2/K),36,11,47,1.33,2022
ASHLAND,(F/G2/J2),11,5,16,1.42,2022
ATKINSON,(M),25,18,43,3.85,2022
Atkinson & Gilmanton,(A),2,0,2,0.1,2022
AUBURN,(L/M),52,35,87,3.43,2022
BARNSTEAD,(J2),90,54,144,3.38,2022
BARRINGTON,(J2/L),87,45,132,2.84,2022
BARTLETT,(E),22,3,25,0.34,2022
BATH,(D2W),100,90,190,5.04,2022
BEDFORD,(K/L/M),46,29,75,2.3,2022
BELMONT,(J2),46,38,84,2.8,2022
BENNINGTON,(H2/K),18,8,26,2.32,2022
BENTON,(D2E/D2W),25,5,30,0.62,2022
BERLIN,(C1/C2),8,3,11,0.18,2022
