X,Y,point_n
110.135,279.914,409
108.066,279.645,410
106.077,279.298,411
104.146,278.876,412
102.248,278.379,413
100.361,277.808,414
98.459,277.164,415
96.523,276.451,416
94.553,275.675,417
92.562,274.851,418
90.564,273.989,419
88.57,273.102,420
86.593,272.202,421
84.647,271.302,422
82.743,270.412,423
80.889,269.544,424
79.088,268.703,425
77.342,267.9,426
75.657,267.141,427
74.034,266.434,428
72.477,265.787,429
70.977,265.196,430
69.505,264.642,431
68.032,264.103,432
66.527,263.558,433
64.961,262.985,434
63.312,262.37,435
61.591,261.722,436
59.817,261.057,437
58.008,260.391,438
56.183,259.739,439
54.359,259.118,440
52.553,258.541,441
50.764,258.007,442
48.984,257.508,443
47.204,257.037,444
45.418,256.586,445
43.616,256.147,446
41.79,255.715,447
39.926,255.296,448
38.007,254.907,449
36.015,254.567,450
33.932,254.292,451
31.743,254.099,452
29.428,254.005,453
26.982,254.028,454
24.483,254.189,455
22.042,254.511,456
19.77,255.014,457
17.78,255.723,458
16.183,256.658,459
15.091,257.842,460
14.588,259.29,461
14.606,260.977,462
15.02,262.86,463
15.708,264.898,464
16.544,267.052,465
17.404,269.279,466
18.166,271.539,467
18.766,273.79,468
19.259,275.988,469
19.715,278.089,470
20.204,280.049,471
20.796,281.823,472
21.561,283.367,473
22.564,284.642,474
23.753,285.688,475
24.97,286.622,476
26.054,287.563,477
26.843,288.631,478
27.191,289.934,479
27.121,291.493,480
26.761,293.269,481
26.236,295.226,482
25.673,297.325,483
25.2,299.53,484
24.941,301.803,485
24.948,304.116,486
25.161,306.456,487
25.514,308.81,488
25.938,311.166,489
26.366,313.511,490
26.729,315.834,491
26.96,318.122,492
26.996,320.362,493
26.825,322.54,494
26.482,324.64,495
25.997,326.647,496
25.404,328.545,497
24.735,330.318,498
24.023,331.95,499
23.301,333.437,500
22.604,334.821,501
21.968,336.16,502
21.427,337.508,503
21.017,338.924,504
20.764,340.456,505
20.651,342.119,506
20.644,343.917,507
20.714,345.856,508
20.829,347.941,509
20.957,350.177,510
21.071,352.566,511
21.174,355.092,512
21.293,357.718,513
21.457,360.413,514
21.692,363.143,515
22.026,365.872,516
22.487,368.569,517
23.102,371.198,518
23.899,373.727,519
24.9,376.119,520
26.097,378.329,521
27.474,380.308,522
29.014,382.006,523
30.699,383.374,524
32.511,384.364,525
34.435,384.925,526
36.451,385.018,527
38.535,384.682,528
40.654,384.006,529
42.78,383.077,530
44.881,381.983,531
46.927,380.811,532
48.887,379.65,533
50.732,378.585,534
52.46,377.651,535
54.104,376.817,536
55.699,376.044,537
57.281,375.296,538
58.885,374.538,539
60.547,373.731,540
62.276,372.861,541
64.043,371.94,542
65.815,370.987,543
67.559,370.019,544
69.24,369.053,545
70.827,368.106,546
72.293,367.191,547
73.655,366.293,548
74.945,365.389,549
76.195,364.455,550
77.437,363.467,551
78.702,362.402,552
80.003,361.263,553
81.334,360.073,554
82.692,358.857,555
84.072,357.638,556
85.468,356.442,557
86.878,355.29,558
88.306,354.194,559
89.762,353.149,560
91.257,352.155,561
92.801,351.21,562
94.406,350.312,563
96.081,349.458,564
97.831,348.647,565
99.656,347.874,566
101.553,347.135,567
103.524,346.428,568
105.567,345.749,569
107.682,345.095,570
109.869,344.462,571
112.125,343.855,572
114.449,343.28,573
116.84,342.742,574
119.295,342.25,575
121.814,341.807,576
124.393,341.422,577
127.033,341.1,578
129.728,340.847,579
132.453,340.679,580
135.165,340.614,581
137.823,340.672,582
140.384,340.874,583
142.806,341.237,584
145.047,341.783,585
147.063,342.53,586
148.811,343.497,587
150.213,344.661,588
151.154,345.96,589
151.516,347.327,590
151.183,348.697,591
150.075,350.009,592
148.4,351.234,593
146.506,352.36,594
144.742,353.374,595
143.458,354.263,596
143.001,355.016,597
143.619,355.623,598
145.169,356.098,599
147.419,356.453,600
150.137,356.706,601
153.093,356.871,602
156.053,356.964,603
158.787,356.999,604
161.07,356.992,605
162.871,356.938,606
164.349,356.818,607
165.674,356.608,608
167.015,356.286,609
168.539,355.832,610
170.33,355.252,611
172.346,354.594,612
174.531,353.913,613
176.831,353.26,614
179.193,352.689,615
181.561,352.254,616
183.882,352.007,617
186.111,351.988,618
188.26,352.177,619
190.351,352.535,620
192.411,353.024,621
194.463,353.606,622
196.533,354.242,623
198.645,354.893,624
200.818,355.525,625
203.032,356.116,626
205.254,356.653,627
207.446,357.12,628
209.575,357.506,629
211.604,357.794,630
213.5,357.972,631
215.233,358.03,632
216.827,357.999,633
218.338,357.937,634
219.823,357.9,635
221.337,357.943,636
222.935,358.122,637
224.641,358.44,638
226.458,358.866,639
228.386,359.366,640
230.426,359.905,641
232.579,360.451,642
234.846,360.968,643
237.225,361.429,644
239.699,361.836,645
242.247,362.2,646
244.849,362.534,647
247.482,362.847,648
250.128,363.153,649
252.763,363.461,650
255.368,363.783,651
257.922,364.13,652
260.422,364.509,653
262.889,364.917,654
265.346,365.353,655
267.819,365.815,656
270.33,366.299,657
272.902,366.805,658
275.56,367.329,659
278.327,367.87,660
281.216,368.427,661
284.152,369.011,662
287.014,369.639,663
289.682,370.329,664
292.036,371.098,665
293.956,371.962,666
295.322,372.94,667
296.014,374.049,668
295.963,375.286,669
295.286,376.581,670
294.139,377.849,671
292.681,379.006,672
291.068,379.966,673
289.434,380.67,674
287.809,381.183,675
286.197,381.603,676
284.597,382.029,677
283.012,382.559,678
281.443,383.289,679
279.942,384.257,680
278.628,385.409,681
277.627,386.684,682
277.063,388.023,683
277.062,389.365,684
277.656,390.678,685
278.709,391.979,686
280.067,393.291,687
281.577,394.637,688
283.085,396.039,689
284.44,397.519,690
285.584,399.073,691
286.601,400.652,692
287.588,402.207,693
288.64,403.688,694
289.853,405.043,695
291.323,406.223,696
293.076,407.214,697
294.977,408.087,698
296.873,408.92,699
298.611,409.795,700
300.036,410.791,701
300.995,411.989,702
301.391,413.442,703
301.372,415.087,704
301.143,416.834,705
300.912,418.593,706
300.885,420.272,707
301.261,421.786,708
302.068,423.125,709
303.179,424.353,710
304.463,425.534,711
305.785,426.734,712
307.015,428.018,713
308.055,429.43,714
308.946,430.926,715
309.758,432.443,716
310.566,433.918,717
311.441,435.288,718
312.453,436.49,719
313.622,437.531,720
314.9,438.497,721
316.236,439.48,722
317.579,440.572,723
318.88,441.863,724
320.098,443.414,725
321.252,445.112,726
322.378,446.788,727
323.515,448.273,728
324.698,449.398,729
325.967,449.993,730
327.347,449.939,731
328.818,449.319,732
330.35,448.275,733
331.911,446.948,734
333.468,445.479,735
334.99,444.01,736
336.452,442.652,737
337.856,441.406,738
339.212,440.241,739
340.528,439.126,740
341.815,438.032,741
343.08,436.929,742
344.332,435.792,743
345.571,434.617,744
346.799,433.405,745
348.013,432.155,746
349.215,430.868,747
350.404,429.544,748
351.583,428.189,749
352.755,426.818,750
353.928,425.446,751
355.105,424.089,752
356.293,422.761,753
357.497,421.479,754
358.717,420.242,755
359.947,419.034,756
361.179,417.835,757
362.407,416.627,758
363.625,415.393,759
364.825,414.114,760
366.01,412.792,761
367.186,411.439,762
368.357,410.07,763
369.531,408.694,764
370.713,407.327,765
